# x_m,y_m,w_tr_right_m,w_tr_left_m
550.183097,-260.351613,7.178,6.715
553.200874,-256.390488,7.327,6.915
555.720054,-252.09095,7.701,7.224
557.248538,-247.368305,8.507,7.945
556.911435,-242.633553,9.425,8.667
554.246967,-238.422577,9.844,8.739
550.136585,-235.372,9.526,8.579
545.475743,-233.759438,9.209,8.42
540.595488,-232.890652,9.113,8.328
535.676795,-232.129896,9.031,8.241
530.746024,-231.389114,8.949,8.154
525.805064,-230.666927,8.867,8.066
520.855807,-229.961957,8.785,7.979
515.900142,-229.272826,8.703,7.892
510.939959,-228.598156,8.621,7.805
505.97715,-227.936568,8.539,7.717
501.013603,-227.286683,8.457,7.63
496.05107,-226.646941,8.375,7.543
491.090107,-226.014201,8.293,7.456
486.130663,-225.384522,8.211,7.368
481.172679,-224.753957,8.13,7.281
476.2161,-224.118559,8.048,7.194
471.260868,-223.474379,7.966,7.107
466.306927,-222.817471,7.884,7.019
461.35422,-222.143887,7.802,6.932
456.402691,-221.449679,7.72,6.845
451.452191,-220.732921,7.638,6.758
446.502162,-220.000841,7.556,6.671
441.551928,-219.263257,7.474,6.583
436.600814,-218.529991,7.392,6.496
431.648144,-217.810861,7.31,6.409
426.693243,-217.115686,7.228,6.322
421.735436,-216.454287,7.146,6.234
416.774047,-215.836483,7.064,6.147
411.80843,-215.271645,6.982,6.06
406.838472,-214.761327,6.9,5.973
401.864508,-214.300441,6.818,5.885
396.886888,-213.883689,6.749,5.818
391.905961,-213.505774,6.718,5.809
386.922079,-213.161396,6.686,5.799
381.935592,-212.845257,6.655,5.789
376.946848,-212.55206,6.623,5.779
371.956198,-212.276509,6.592,5.77
366.963959,-212.01425,6.56,5.76
361.970363,-211.763238,6.529,5.75
356.975631,-211.521777,6.497,5.741
351.979984,-211.288168,6.466,5.731
346.983642,-211.060715,6.434,5.721
341.986826,-210.837719,6.403,5.712
336.989756,-210.617484,6.371,5.702
331.992653,-210.398311,6.34,5.692
326.99572,-210.178638,6.308,5.683
321.999016,-209.957989,6.277,5.673
317.002528,-209.736422,6.245,5.663
312.006245,-209.513993,6.214,5.654
307.010154,-209.290764,6.182,5.644
302.014243,-209.066792,6.151,5.634
297.0185,-208.842137,6.12,5.625
292.022913,-208.616857,6.088,5.615
287.02747,-208.391013,6.057,5.605
282.032158,-208.164662,6.025,5.595
277.036965,-207.937864,5.994,5.586
272.041879,-207.710677,5.962,5.576
267.046888,-207.483162,5.931,5.566
262.051979,-207.255376,5.899,5.557
257.057141,-207.02738,5.868,5.547
252.062361,-206.799231,5.836,5.537
247.067628,-206.570989,5.805,5.528
242.072928,-206.342714,5.773,5.518
237.07825,-206.114463,5.742,5.508
232.083581,-205.886296,5.71,5.499
227.08891,-205.658273,5.679,5.489
222.094223,-205.430452,5.647,5.479
217.09951,-205.202891,5.616,5.47
212.104758,-204.975652,5.584,5.46
207.109954,-204.748791,5.563,5.454
202.115086,-204.522368,5.563,5.456
197.120143,-204.296443,5.563,5.458
192.125112,-204.071074,5.564,5.461
187.12998,-203.846321,5.564,5.463
182.134736,-203.622242,5.564,5.465
177.139368,-203.398896,5.565,5.467
172.143863,-203.176343,5.565,5.47
167.148208,-202.954641,5.565,5.472
162.152393,-202.733849,5.566,5.474
157.156412,-202.513997,5.566,5.476
152.160278,-202.29504,5.567,5.479
147.164006,-202.076926,5.567,5.481
142.16761,-201.859602,5.567,5.483
137.171106,-201.643016,5.568,5.485
132.174508,-201.427115,5.568,5.488
127.177832,-201.211845,5.568,5.49
122.181093,-200.997154,5.569,5.492
117.184305,-200.78299,5.569,5.494
112.187484,-200.569299,5.569,5.497
107.190644,-200.356029,5.57,5.499
102.1938,-200.143126,5.57,5.501
97.196969,-199.930539,5.571,5.503
92.200163,-199.718214,5.571,5.506
87.203399,-199.506098,5.571,5.508
82.206691,-199.294139,5.572,5.51
77.210055,-199.082283,5.572,5.513
72.213505,-198.870479,5.572,5.515
67.217056,-198.658672,5.573,5.517
62.220723,-198.446812,5.573,5.519
57.224522,-198.234843,5.574,5.522
52.228467,-198.022715,5.574,5.524
47.232573,-197.810373,5.574,5.526
42.236855,-197.597766,5.575,5.528
37.241328,-197.38484,5.575,5.531
32.246007,-197.171542,5.575,5.533
27.250908,-196.957821,5.576,5.535
22.256044,-196.743622,5.576,5.537
17.261432,-196.528893,5.576,5.54
12.267085,-196.313582,5.577,5.542
7.273019,-196.097635,5.577,5.544
2.27925,-195.881,5.578,5.546
-2.714209,-195.663624,5.578,5.549
-7.707343,-195.445455,5.578,5.551
-12.700194,-195.226508,5.579,5.553
-17.692935,-195.00695,5.579,5.555
-22.685757,-194.786971,5.579,5.558
-27.678849,-194.566757,5.58,5.56
-32.672401,-194.346497,5.58,5.562
-37.666603,-194.126379,5.58,5.564
-42.661644,-193.906589,5.581,5.567
-47.657715,-193.687318,5.581,5.569
-52.655005,-193.468751,5.582,5.571
-57.653704,-193.251078,5.582,5.574
-62.654002,-193.034486,5.582,5.576
-67.656089,-192.819163,5.583,5.578
-72.660154,-192.605296,5.583,5.58
-77.666388,-192.393074,5.583,5.583
-82.67498,-192.182685,5.584,5.585
-87.68612,-191.974317,5.584,5.587
-92.699865,-191.768109,5.584,5.589
-97.7114,-191.562445,5.585,5.592
-102.709752,-191.35349,5.585,5.594
-107.683554,-191.137264,5.586,5.596
-112.621437,-190.909788,5.586,5.598
-117.524144,-190.670879,5.586,5.601
-122.439099,-190.434971,5.587,5.603
-127.424965,-190.220023,5.587,5.605
-132.540408,-190.043991,5.659,5.631
-137.783808,-189.980595,5.982,5.738
-142.922533,-190.317227,6.245,5.89
-147.668629,-191.392451,6.424,6.096
-151.73414,-193.544833,6.832,5.759
-154.863516,-197.06443,7.115,5.58
-157.243402,-201.579369,7.03,5.872
-159.352582,-206.281784,6.946,6.164
-161.317614,-210.908224,6.861,6.456
-163.020486,-215.576781,6.776,6.748
-164.422141,-220.332372,6.858,6.634
-165.542129,-225.163374,6.969,6.449
-166.401195,-230.057016,7.016,6.428
-167.020082,-235.000525,7.033,6.481
-167.419535,-239.98113,7.05,6.534
-167.620296,-244.98606,7.091,6.619
-167.643111,-250.002542,7.181,6.764
-167.508722,-255.017805,7.271,6.91
-167.235345,-260.02007,7.361,7.056
-166.824938,-265.003955,7.319,7.101
-166.273021,-269.966607,7.036,6.962
-165.575098,-274.905178,6.753,6.823
-164.726674,-279.816822,6.625,6.631
-163.723255,-284.698693,6.716,6.364
-162.560343,-289.547944,6.807,6.097
-161.233445,-294.361729,6.837,5.928
-159.738096,-299.136995,6.667,6.081
-158.070763,-303.864607,6.498,6.234
-156.22898,-308.528469,6.328,6.386
-154.210338,-313.112103,6.334,6.404
-152.012428,-317.599032,6.575,6.24
-149.632365,-321.974513,6.816,6.076
-147.065629,-326.229774,7.058,5.912
-144.307347,-330.357321,7.048,5.901
-141.352648,-334.34966,6.931,5.955
-138.200852,-338.20101,6.814,6.009
-134.865546,-341.911414,6.696,6.063
-131.363346,-345.482153,6.586,6.152
-127.710871,-348.914507,6.495,6.337
-123.924737,-352.209758,6.404,6.522
-120.021562,-355.369188,6.313,6.707
-116.017964,-358.394075,6.478,6.452
-111.93056,-361.285703,6.658,6.172
-107.774891,-364.045251,6.838,5.892
-103.553611,-366.672694,6.818,5.878
-99.260868,-369.16721,6.667,6.037
-94.890662,-371.527964,6.517,6.196
-90.437074,-373.754209,6.384,6.338
-85.902992,-375.854556,6.419,6.315
-81.307868,-377.85522,6.455,6.291
-76.672978,-379.784354,6.49,6.268
-72.019599,-381.670115,6.525,6.245
-67.366498,-383.537556,6.561,6.221
-62.717265,-385.393009,6.596,6.198
-58.069829,-387.235815,6.58,6.164
-53.422107,-389.065301,6.428,6.103
-48.772017,-390.880797,6.277,6.041
-44.117477,-392.68163,6.125,5.98
-39.456405,-394.467129,5.973,5.919
-34.786718,-396.236623,5.822,5.857
-30.106665,-397.990149,5.67,5.796
-25.423378,-399.746804,5.519,5.735
-20.753637,-401.546382,5.367,5.673
-16.114708,-403.429722,5.257,5.657
-11.523864,-405.437666,5.203,5.702
-7.019056,-407.631307,5.15,5.748
-2.705173,-410.137287,5.096,5.794
1.347031,-413.030477,5.1,5.768
5.220697,-416.175839,5.152,5.684
9.005219,-419.433023,5.204,5.6
12.710947,-422.779784,5.254,5.519
16.332486,-426.217405,5.24,5.558
19.864438,-429.747171,5.226,5.597
23.301407,-433.370367,5.212,5.636
26.637995,-437.088276,5.199,5.675
29.868805,-440.902182,5.201,5.699
32.988442,-444.813372,5.221,5.708
35.990763,-448.823018,5.241,5.717
38.861389,-452.931089,5.26,5.726
41.580817,-457.136801,5.362,5.837
44.129467,-461.439359,5.673,6.205
46.487759,-465.837969,5.983,6.573
48.636114,-470.331834,6.293,6.941
50.554952,-474.920161,6.458,7.095
52.224693,-479.602155,6.482,7.043
53.625758,-484.37702,6.507,6.991
54.744987,-489.241278,6.469,6.928
55.60543,-494.176323,6.266,6.836
56.242809,-499.158252,6.062,6.744
56.692864,-504.163156,5.858,6.653
56.989759,-509.167553,5.654,6.561
57.129762,-514.158269,5.689,6.623
57.070246,-519.132705,6.013,6.87
56.766815,-524.088743,6.337,7.117
56.177856,-529.024448,6.66,7.365
55.327524,-533.942163,6.984,7.612
54.306787,-538.848578,7.029,7.657
53.2096,-543.75058,7.067,7.698
52.129853,-548.655039,7.105,7.739
51.068255,-553.546346,7.143,7.779
49.746231,-558.341526,7.181,7.82
47.964949,-562.985038,7.202,7.85
45.919879,-567.540972,7.176,7.849
43.820965,-572.076837,7.15,7.849
41.702867,-576.604085,7.123,7.848
39.56779,-581.123789,7.097,7.847
37.417944,-585.637022,7.07,7.846
35.255534,-590.144856,7.044,7.845
33.082769,-594.648364,7.018,7.844
30.901856,-599.148618,6.991,7.843
28.715002,-603.646692,6.965,7.843
26.524472,-608.143664,6.938,7.842
24.333128,-612.640681,6.912,7.841
22.144178,-617.13893,6.885,7.84
19.960835,-621.639596,6.859,7.839
17.786311,-626.143866,6.833,7.838
15.62382,-630.652928,6.806,7.838
13.476573,-635.167966,6.78,7.837
11.347784,-639.690169,6.753,7.836
9.24046,-644.220636,6.727,7.835
7.142615,-648.75414,6.701,7.834
5.01735,-653.274945,6.674,7.833
2.825419,-657.766324,6.648,7.832
0.527573,-662.211548,6.621,7.832
-1.919777,-666.584407,6.595,7.831
-4.583029,-670.808873,6.625,7.807
-7.536047,-674.792612,6.747,7.745
-10.852698,-678.443279,6.87,7.683
-14.581808,-681.694016,6.992,7.621
-18.642305,-684.610154,6.87,7.373
-22.911128,-687.299756,6.731,7.111
-27.265194,-689.870908,6.591,6.85
-31.58583,-692.42778,6.462,6.717
-35.847109,-694.992163,6.343,6.726
-40.111275,-697.50754,6.225,6.735
-44.444068,-699.914287,6.106,6.744
-48.909129,-702.151881,5.988,6.752
-53.526368,-704.140988,5.896,6.521
-58.27433,-705.784479,5.816,6.177
-63.129934,-706.98453,5.737,5.833
-68.070072,-707.643342,5.587,6.043
-73.052147,-707.68236,5.427,6.338
-77.979776,-707.076146,5.342,6.458
-82.747372,-705.808346,5.327,6.412
-87.249405,-703.862663,5.312,6.366
-91.416098,-701.260152,5.417,6.251
-95.275362,-698.123926,5.551,6.119
-98.871638,-694.594369,5.684,5.987
-102.24937,-690.811863,5.692,5.951
-105.45071,-686.9074,5.634,5.966
-108.497033,-682.926699,5.577,5.981
-111.398634,-678.870026,5.531,6.002
-114.165707,-674.737225,5.53,6.045
-116.808493,-670.528213,5.529,6.088
-119.339885,-666.247079,5.528,6.13
-121.776819,-661.904266,5.583,6.135
-124.136568,-657.510748,5.685,6.108
-126.436407,-653.077502,5.787,6.081
-128.69361,-648.615503,5.89,6.054
-130.92545,-644.135728,5.992,6.027
-133.149203,-639.649151,6.094,6
-135.382141,-635.166748,6.196,5.973
-137.638866,-630.697811,6.299,5.946
-139.92134,-626.243671,6.401,5.919
-142.227798,-621.803308,6.484,5.898
-144.556473,-617.375703,6.483,5.902
-146.905599,-612.959839,6.482,5.905
-149.27341,-608.554696,6.481,5.909
-151.658138,-604.159255,6.479,5.913
-154.058018,-599.772497,6.478,5.917
-156.471283,-595.393403,6.477,5.921
-158.896167,-591.020954,6.476,5.925
-161.330903,-586.654132,6.475,5.929
-163.773725,-582.291917,6.474,5.933
-166.222867,-577.933291,6.473,5.937
-168.676561,-573.577235,6.471,5.94
-171.133042,-569.222729,6.47,5.944
-173.590543,-564.868755,6.469,5.948
-176.047299,-560.514295,6.468,5.952
-178.502015,-556.158601,6.467,5.956
-180.954596,-551.801622,6.466,5.96
-183.405137,-547.443414,6.465,5.964
-185.853732,-543.084034,6.464,5.968
-188.300477,-538.723538,6.462,5.972
-190.745464,-534.361983,6.461,5.975
-193.18879,-529.999425,6.46,5.979
-195.630549,-525.635921,6.459,5.983
-198.070834,-521.271528,6.458,5.987
-200.509741,-516.906301,6.457,5.991
-202.947364,-512.540299,6.456,5.995
-205.383797,-508.173576,6.455,5.999
-207.819135,-503.80619,6.453,6.003
-210.253473,-499.438198,6.452,6.007
-212.686905,-495.069655,6.451,6.011
-215.119525,-490.700619,6.45,6.014
-217.551428,-486.331146,6.449,6.018
-219.982709,-481.961292,6.448,6.022
-222.413462,-477.591115,6.447,6.026
-224.843781,-473.22067,6.446,6.03
-227.273762,-468.850014,6.444,6.034
-229.703498,-464.479205,6.443,6.038
-232.133084,-460.108298,6.442,6.042
-234.562615,-455.73735,6.441,6.046
-236.992184,-451.366417,6.44,6.049
-239.421888,-446.995557,6.439,6.053
-241.851819,-442.624825,6.438,6.057
-244.282073,-438.254279,6.436,6.061
-246.712744,-433.883974,6.435,6.065
-249.143926,-429.513968,6.434,6.069
-251.575715,-425.144317,6.433,6.073
-254.008204,-420.775077,6.432,6.077
-256.441488,-416.406305,6.431,6.081
-258.875657,-412.038056,6.43,6.084
-261.310718,-407.670333,6.429,6.088
-263.746606,-403.3031,6.427,6.092
-266.183258,-398.93632,6.426,6.096
-268.620608,-394.569955,6.425,6.1
-271.058591,-390.203968,6.424,6.104
-273.497142,-385.838322,6.423,6.108
-275.936196,-381.472978,6.422,6.112
-278.375688,-377.1079,6.421,6.116
-280.815552,-372.74305,6.42,6.119
-283.255723,-368.37839,6.418,6.123
-285.696137,-364.013883,6.417,6.127
-288.136729,-359.649491,6.416,6.131
-290.577433,-355.285177,6.415,6.135
-293.018183,-350.920904,6.414,6.139
-295.458916,-346.556634,6.413,6.143
-297.899566,-342.192329,6.412,6.147
-300.340068,-337.827952,6.411,6.151
-302.780356,-333.463466,6.409,6.154
-305.220366,-329.098832,6.408,6.158
-307.660033,-324.734014,6.407,6.162
-310.099291,-320.368975,6.406,6.166
-312.538075,-316.003675,6.405,6.17
-314.976321,-311.638079,6.404,6.174
-317.413962,-307.272148,6.403,6.178
-319.850935,-302.905845,6.401,6.182
-322.287174,-298.539133,6.4,6.186
-324.722614,-294.171974,6.399,6.189
-327.157189,-289.804331,6.398,6.193
-329.590835,-285.436165,6.397,6.197
-332.023487,-281.067441,6.396,6.201
-334.455079,-276.698119,6.395,6.205
-336.885546,-272.328163,6.394,6.209
-339.314824,-267.957535,6.392,6.213
-341.742863,-263.586206,6.391,6.217
-344.169859,-259.214285,6.39,6.221
-346.596207,-254.841986,6.389,6.225
-349.022309,-250.469532,6.388,6.228
-351.448564,-246.097141,6.387,6.232
-353.875373,-241.725035,6.386,6.236
-356.303137,-237.353432,6.385,6.24
-358.732256,-232.982553,6.383,6.244
-361.16313,-228.612619,6.382,6.248
-363.59616,-224.243849,6.381,6.252
-366.031747,-219.876463,6.38,6.256
-368.470291,-215.510682,6.379,6.26
-370.912192,-211.146725,6.378,6.263
-373.357851,-206.784812,6.377,6.267
-375.807668,-202.425164,6.375,6.271
-378.262044,-198.068001,6.374,6.275
-380.72138,-193.713543,6.373,6.279
-383.185943,-189.361939,6.372,6.283
-385.654997,-185.0128,6.388,6.332
-388.127347,-180.665491,6.404,6.382
-390.601795,-176.319378,6.42,6.433
-393.07714,-171.973823,6.436,6.484
-395.552187,-167.62819,6.452,6.535
-398.025735,-163.281843,6.468,6.585
-400.496586,-158.934147,6.485,6.636
-402.963543,-154.584465,6.501,6.687
-405.425406,-150.23216,6.517,6.737
-407.880978,-145.876598,6.533,6.788
-410.32906,-141.517142,6.549,6.839
-412.768454,-137.153155,6.565,6.889
-415.19796,-132.784002,6.582,6.94
-417.616382,-128.409046,6.598,6.991
-420.02252,-124.027652,6.614,7.041
-422.415175,-119.639184,6.63,7.092
-424.793584,-115.243186,6.702,7.105
-427.158714,-110.839932,6.774,7.118
-429.511966,-106.429876,6.846,7.131
-431.854742,-102.013472,6.918,7.145
-434.188443,-97.591174,6.99,7.158
-436.51447,-93.163437,7.062,7.171
-438.834225,-88.730716,7.134,7.184
-441.14911,-84.293464,7.206,7.197
-443.460514,-79.852136,7.278,7.21
-445.767723,-75.407404,7.35,7.223
-448.06538,-70.960414,7.422,7.236
-450.347506,-66.512375,7.494,7.249
-452.608124,-62.064497,7.566,7.262
-454.847083,-57.618695,7.638,7.275
-457.106468,-53.182002,7.71,7.288
-459.446964,-48.763705,7.782,7.301
-461.929338,-44.373098,7.854,7.315
-464.546894,-40.006764,7.656,7.361
-466.807089,-35.569705,6.88,7.48
-468.015304,-30.930587,6.623,7.387
-467.854528,-26.090589,7.07,7.467
-466.475378,-21.221781,7.921,8.245
-464.009666,-16.727763,8.673,9.414
-460.535516,-13.264881,9.426,10.586
-456.297757,-10.892146,9.325,10.453
-451.74219,-8.931963,9.18,10.252
-447.130318,-6.988904,9.035,10.05
-442.491903,-5.052938,8.889,9.849
-437.843407,-3.13615,8.744,9.647
-433.201296,-1.25062,8.599,9.446
-428.577583,0.601117,8.454,9.244
-423.96847,2.450454,8.308,9.043
-419.366647,4.336319,8.163,8.841
-414.764805,6.297635,8.018,8.639
-410.153338,8.338631,7.872,8.438
-405.514528,10.34093,7.727,8.236
-400.828869,12.159092,7.582,8.035
-396.076852,13.647672,7.477,7.93
-391.240846,14.672917,7.456,8.024
-386.326798,15.247862,7.434,8.117
-381.356743,15.48572,7.398,8.125
-376.35303,15.501638,7.35,8.063
-371.337944,15.410473,7.301,8.002
-366.326518,15.291888,7.253,7.941
-361.319648,15.156999,7.205,7.879
-356.316604,15.009022,7.156,7.818
-351.316655,14.851172,7.108,7.756
-346.319069,14.686664,7.06,7.695
-341.323115,14.518713,7.011,7.634
-336.328062,14.350535,6.963,7.572
-331.333178,14.185345,6.914,7.511
-326.337815,14.025953,6.866,7.45
-321.341828,13.872638,6.818,7.388
-316.345272,13.724703,6.769,7.327
-311.3482,13.581449,6.721,7.265
-306.350666,13.442176,6.673,7.204
-301.352724,13.306186,6.624,7.143
-296.354427,13.172778,6.576,7.081
-291.35583,13.041254,6.528,7.02
-286.356985,12.910915,6.479,6.959
-281.357948,12.781061,6.431,6.897
-276.35877,12.650992,6.382,6.836
-271.359507,12.52001,6.334,6.775
-266.360212,12.387415,6.286,6.713
-261.360938,12.252508,6.237,6.652
-256.361739,12.11459,6.189,6.59
-251.36267,11.972961,6.141,6.529
-246.363784,11.826922,6.092,6.468
-241.365122,11.675944,6.044,6.406
-236.366685,11.520065,5.996,6.345
-231.368467,11.359439,5.947,6.284
-226.370459,11.194223,5.899,6.222
-221.372655,11.024572,5.851,6.161
-216.375046,10.850641,5.802,6.1
-211.377627,10.672587,5.754,6.038
-206.380388,10.490565,5.705,5.977
-201.383324,10.30473,5.66,5.919
-196.386425,10.115238,5.671,5.923
-191.389686,9.922244,5.682,5.927
-186.393099,9.725904,5.693,5.932
-181.396656,9.526375,5.701,5.937
-176.40035,9.32381,5.709,5.942
-171.404174,9.118366,5.717,5.947
-166.40812,8.910199,5.725,5.952
-161.412181,8.699463,5.733,5.957
-156.416349,8.486315,5.741,5.962
-151.420617,8.27091,5.749,5.967
-146.424978,8.053404,5.757,5.972
-141.429425,7.833951,5.765,5.977
-136.433949,7.612709,5.773,5.982
-131.438545,7.389832,5.781,5.987
-126.443203,7.165476,5.789,5.992
-121.447917,6.939796,5.797,5.997
-116.45268,6.712949,5.805,6.002
-111.457484,6.485089,5.813,6.007
-106.462321,6.256372,5.821,6.012
-101.467185,6.026955,5.829,6.017
-96.472068,5.796991,5.837,6.022
-91.476962,5.566638,5.845,6.027
-86.481861,5.336049,5.853,6.032
-81.486757,5.105382,5.861,6.037
-76.491642,4.874792,5.869,6.042
-71.496511,4.644401,5.877,6.047
-66.501363,4.414224,5.885,6.052
-61.506198,4.184257,5.893,6.057
-56.511018,3.954495,5.901,6.062
-51.515823,3.724933,5.909,6.067
-46.520612,3.495567,5.917,6.072
-41.525388,3.26639,5.925,6.077
-36.530149,3.037398,5.933,6.082
-31.534897,2.808586,5.941,6.087
-26.539632,2.579949,5.949,6.092
-21.544355,2.351482,5.957,6.097
-16.549066,2.123181,5.965,6.102
-11.553765,1.895039,5.973,6.107
-6.558454,1.667053,5.981,6.112
